title,url,price,primary_image_url,retailer_sku_code,currency,crawl_time,current_price,categories
Samsung Protective Cover+ for Samsung Galaxy A5 ,http://www.expansys.com.sg/samsung-protective-cover-for-samsung-galaxy-a5-light-grey-270535/,28.99,http://i2.expansys.com/img/b/270535/samsung-protective-cover-for-samsung-galaxy-a5.jpg,270535,SG$,2016-04-18 14:36:30,28.99,"Mobile Phones,Phone Accessories,Cases & Covers"
PDair Deluxe Leather Case for HTC Desire 820 mini ,http://www.expansys.com.sg/pdair-deluxe-leather-case-for-htc-desire-820-mini-flip-type-black-270292/,7.64,http://i1.expansys.com/img/b/270292/pdair-deluxe-leather-case-for-htc-desire-820-mini.jpg,270292,SG$,2016-04-18 14:36:32,7.64,"Mobile Phones,Phone Accessories,Cases & Covers"
innerexile Glacier case for Apple iPhone 6s/6 ,http://www.expansys.com.sg/innerexile-glacier-case-for-apple-iphone-6-crystal-self-healing-protective-case-transparent-269979/,43.44,http://i2.expansys.com/img/b/269979/innerexile-glacier-case-for-apple-iphone-6.jpg,269979,SG$,2016-04-18 14:36:36,43.44,"Mobile Phones,Phone Accessories,Cases & Covers"
AT Screen Guard for Sony Xperia Z3 Tablet Compact ,http://www.expansys.com.sg/at-screen-guard-for-sony-xperia-z3-compact-tablet-anti-fingerprint-crystal-clear-268644/,14.99,http://i1.expansys.com/img/b/268644/at-screen-guard-for-sony-xperia-z3-compact-tablet.jpg,268644,SG$,2016-04-18 14:36:40,14.99,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
SanDisk Extreme PRO 64GB microSDXC ,http://www.expansys.com.sg/sandisk-64gb-extreme-pro-microsdhc-uhs-i-card-class-10-u3-up-to-95mb-s-read-with-sd-adaptor-268222/,82.99,http://i1.expansys.com/img/b/268222/sandisk-64gb-extreme-pro-microsdhc-uhs-i-card.jpg,268222,SG$,2016-04-18 14:36:43,82.99,"Mobile Phones,Phone Accessories,Memory & Storage"
SanDisk Extreme PRO 32GB microSDHC ,http://www.expansys.com.sg/sandisk-32gb-extreme-pro-microsdhc-uhs-i-card-class-10-u3-up-to-95mb-s-read-with-sd-adaptor-268219/,80.23,http://i2.expansys.com/img/b/268219/sandisk-32gb-extreme-pro-microsdhc-uhs-i-card.jpg,268219,SG$,2016-04-18 14:36:47,49.99,"Mobile Phones,Phone Accessories,Memory & Storage"
innerexile Hydra case for Apple iPhone 6s Plus/6 Plus ,http://www.expansys.com.sg/innerexile-hydra-case-for-apple-iphone-6-plus-self-healing-protective-case-transparent-black-267055/,33.94,http://i2.expansys.com/img/b/267055/innerexile-hydra-case-for-apple-iphone-6-plus.jpg,267055,SG$,2016-04-18 14:36:50,33.94,"Mobile Phones,Phone Accessories,Cases & Covers"
Jabra Move Wireless ,http://www.expansys.com.sg/jabra-move-wireless-red-266782/,128.00,http://i1.expansys.com/img/b/266782/jabra-move-wireless.jpg,266782,SG$,2016-04-18 14:36:53,87.99,"Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth"
innerexile Hyaline slim fit case for iPhone 5c ,http://www.expansys.com.sg/innerexile-hyaline-slim-fit-case-for-iphone-5c-transparent-yellow-266699/,34.26,http://i2.expansys.com/img/b/266699/innerexile-hyaline-slim-fit-case-for-iphone-5c.jpg,266699,SG$,2016-04-18 14:36:56,16.29,"Mobile Phones,Phone Accessories,Cases & Covers"
innerexile Hyaline slim fit case for iPhone 5c ,http://www.expansys.com.sg/innerexile-hyaline-slim-fit-case-for-iphone-5c-transparent-green-266698/,34.26,http://i2.expansys.com/img/b/266698/innerexile-hyaline-slim-fit-case-for-iphone-5c.jpg,266698,SG$,2016-04-18 14:37:01,16.29,"Mobile Phones,Phone Accessories,Cases & Covers"
innerexile Hyaline slim fit case for iPhone 5c ,http://www.expansys.com.sg/innerexile-hyaline-slim-fit-case-for-iphone-5c-transparent-blue-266697/,34.26,http://i2.expansys.com/img/b/266697/innerexile-hyaline-slim-fit-case-for-iphone-5c.jpg,266697,SG$,2016-04-18 14:37:02,16.29,"Mobile Phones,Phone Accessories,Cases & Covers"
